gender,player_id,player_name,birth_date,first_match_date,last_match_date,earliest_age_years,appearances,reason
M,102772,Yu Zhang,2002-08-22,1995-11-06,2024-07-08,-6.792747,148,match_before_tenth_birthday
M,103111,Jeff Williams,1978-01-12,1979-10-22,2006-11-13,1.774164,179,match_before_tenth_birthday
M,103402,Peter Clarke,1979-07-08,1971-05-31,2007-11-19,-8.104205,475,match_before_tenth_birthday
M,103616,Andre Van Der Merwe B,1980-08-15,1968-01-01,2004-11-29,-12.621751,15,match_before_tenth_birthday
M,104097,Robert Phillips,1982-12-11,1991-03-02,2012-10-29,8.221935,47,match_before_tenth_birthday
M,104418,Matthew Smith,1984-08-21,1970-12-19,2008-03-10,-13.673108,250,match_before_tenth_birthday
M,104828,Alejandro Kon,1986-11-10,1969-11-11,2011-08-29,-16.996927,287,match_before_tenth_birthday
M,104901,Vladimir Ivanov,1987-04-10,1996-09-08,2021-10-25,9.415662,583,match_before_tenth_birthday
M,105036,Hyun Joon Kim,1987-10-27,1995-05-13,2017-06-12,7.542934,97,match_before_tenth_birthday
M,105155,Pedro Sousa,1988-05-27,1991-05-06,2023-10-02,2.940512,731,match_before_tenth_birthday
M,105866,Joao Maio,1991-11-02,1982-10-18,2009-05-03,-9.040569,4,match_before_tenth_birthday
M,105914,Ashley Hewitt,1992-02-06,1969-04-14,2014-10-20,-22.814979,156,match_before_tenth_birthday
M,106349,Nicholas Jones,1994-08-07,1995-04-24,2013-10-07,0.711856,18,match_before_tenth_birthday
M,106564,Anton Ivanov,1970-01-18,1969-05-28,1996-08-26,-0.643408,10,match_before_tenth_birthday
M,107038,Frank Salazar,1972-01-28,1975-08-04,1996-10-11,3.515473,36,match_before_tenth_birthday
M,107657,Marco Gudino,1972-02-23,1979-11-05,1996-07-15,7.698995,8,match_before_tenth_birthday
M,108213,Scott Brown,1982-09-16,1986-02-03,2005-08-08,3.384053,42,match_before_tenth_birthday
M,108214,Scott Clark,1977-05-05,1978-10-15,1996-09-22,1.445615,85,match_before_tenth_birthday
M,108254,Shinya Tanaka,1965-05-25,1973-10-08,1991-04-22,8.372520,5,match_before_tenth_birthday
M,108346,Takanobu Fujii,1987-10-08,1991-07-08,2007-04-09,3.748195,6,match_before_tenth_birthday
M,108566,Youssef Bouzidi,1975-04-24,1984-11-19,1995-04-22,9.574461,18,match_before_tenth_birthday
M,108896,Shahzad Khan,1986-12-04,1995-10-02,2017-12-04,8.827012,28,match_before_tenth_birthday
M,108957,Jorge Villanueva,1987-04-15,1994-07-02,2006-04-07,7.214385,11,match_before_tenth_birthday
M,109049,Cristian Lopez,1987-07-03,1997-05-03,2007-10-29,9.834562,10,match_before_tenth_birthday
M,109150,David Wright,1980-01-24,1968-11-23,1999-03-08,-11.167923,13,match_before_tenth_birthday
M,109207,Enrique Pena,2004-03-26,1992-09-21,2024-07-29,-11.510161,40,match_before_tenth_birthday
M,109262,Milan Vopicka,1976-03-25,1970-04-06,1996-08-19,-5.968637,25,match_before_tenth_birthday
M,109307,Luis Faria,1999-07-18,1992-07-27,2022-04-04,-6.973449,155,match_before_tenth_birthday
M,109341,Peter Carpenter,1995-04-24,1999-08-02,1999-08-02,4.273873,1,match_before_tenth_birthday
M,109441,Joao Ferreira,1986-04-03,1991-11-18,2019-09-23,5.626399,11,match_before_tenth_birthday
M,109694,Pedro Araujo,2002-03-26,1994-09-05,2025-11-24,-7.553885,267,match_before_tenth_birthday
M,109908,Tom Brown,1998-08-28,1968-05-29,2024-10-14,-30.248397,38,match_before_tenth_birthday
M,110268,Ernesto Aguirre,2000-01-01,1968-04-15,1970-10-03,-31.713177,5,match_before_tenth_birthday
M,110992,Senaka Kumara,1970-04-30,1968-03-20,1973-03-23,-2.110926,12,match_before_tenth_birthday
M,111349,Andreas Weber,1986-06-17,1994-05-30,2008-11-03,7.950882,122,match_before_tenth_birthday
M,118073,Martin Benes,2004-02-07,1999-06-14,2024-08-26,-4.651704,10,match_before_tenth_birthday
M,119410,Christoph Muller,1986-05-06,1991-10-28,2009-10-12,5.478552,7,match_before_tenth_birthday
M,119601,Gregory Anderson,1987-12-01,1993-06-11,2004-11-15,5.527834,25,match_before_tenth_birthday
M,119896,Gabriel Gomez,2004-01-05,2005-08-15,2026-05-18,1.609889,18,match_before_tenth_birthday
M,120207,Ricardo Hernandez,1988-12-09,1991-08-19,2007-01-22,2.691363,5,match_before_tenth_birthday
M,120389,Juan Fernandez,1974-03-12,1970-03-16,2009-10-12,-3.989131,5,match_before_tenth_birthday
M,121191,Pablo Perez,1990-11-16,1993-07-17,2008-09-08,2.666721,3,match_before_tenth_birthday
M,121241,Jose Garcia,1988-06-26,1995-09-30,2024-11-04,7.260929,5,match_before_tenth_birthday
M,122318,Antonio Gonzalez,1994-09-30,1968-03-04,2012-08-20,-26.574125,4,match_before_tenth_birthday
M,122585,Andre Goransson,1994-04-30,1997-05-31,2022-04-11,3.085621,60,match_before_tenth_birthday
M,122649,Photos Photiades,2003-10-17,2012-05-14,2026-02-07,8.575125,28,match_before_tenth_birthday
M,123315,Nicholas Campbell,1999-07-28,1992-05-04,2026-02-07,-7.230812,13,match_before_tenth_birthday
M,123608,Michael Scherer,1985-10-06,1993-10-15,1993-10-15,8.024805,2,match_before_tenth_birthday
M,123879,Marcos Vinicius Azevedo Silva,1995-03-20,1984-01-23,2013-10-21,-11.154233,6,match_before_tenth_birthday
M,124296,Martin Dimitrov,1997-03-10,1998-05-02,2023-05-15,1.144445,28,match_before_tenth_birthday
M,126914,Louis Pretorius,1993-08-29,1968-07-08,2019-09-30,-25.142200,4,match_before_tenth_birthday
M,129148,Frantisek Stejskal,1979-07-14,1969-07-21,1969-07-21,-9.979671,1,match_before_tenth_birthday
M,129924,Robert Lee,1991-05-15,1972-06-05,1974-06-03,-18.940841,3,match_before_tenth_birthday
M,131584,Federico Castelnuovo,1973-01-23,1968-03-25,1968-03-25,-4.832406,2,match_before_tenth_birthday
M,134338,Howard Ho,1982-02-10,1968-06-03,1968-06-03,-13.689535,1,match_before_tenth_birthday
M,142805,John Evans,1982-06-22,1968-12-30,1968-12-30,-13.475978,1,match_before_tenth_birthday
M,142823,Richard Cooper,1975-05-13,1968-09-22,1968-09-22,-6.636687,1,match_before_tenth_birthday
M,142939,Dave Shaw,1958-05-09,1968-04-10,1968-04-10,9.922175,1,match_before_tenth_birthday
M,143108,Rob Simpson,1984-06-10,1968-08-20,1970-06-01,-15.805937,3,match_before_tenth_birthday
M,143672,William Mason,1979-05-25,1968-12-09,1972-01-17,-10.456067,9,match_before_tenth_birthday
M,209455,Ikponwonsa Amandin,1991-02-11,1991-01-28,1991-01-28,-0.038331,1,match_before_tenth_birthday
M,212844,Julius Christian Seifert,2023-04-10,2024-04-22,2024-04-22,1.034929,1,match_before_tenth_birthday
